Team,Stadium,State,Capacity
Arizona Cardinals,State Farm Stadium,Arizona,63400
Atlanta Falcons,Mercedes-Benz Stadium,Georgia,71000
Baltimore Ravens,M&T Bank Stadium,Maryland,71008
Buffalo Bills,Highmark Stadium,New York,71608
Carolina Panthers,Bank of America Stadium,North Carolina,74867
Chicago Bears,Soldier Field,Illinois,61500
Cincinnati Bengals,Paycor Stadium,Ohio,65515
Cleveland Browns,Huntington Bank Field,Ohio,67431
Dallas Cowboys,AT&T Stadium,Texas,80000
Denver Broncos,Empower Field at Mile High,Colorado,76125
Detroit Lions,Ford Field,Michigan,65000
Green Bay Packers,Lambeau Field,Wisconsin,81441
Houston Texans,NRG Stadium,Texas,72220
Indianapolis Colts,Lucas Oil Stadium,Indiana,67000
Jacksonville Jaguars,EverBank Stadium,Florida,67838
Kansas City Chiefs,Arrowhead Stadium,Missouri,76416
Las Vegas Raiders,Allegiant Stadium,Nevada,65000
Los Angeles Chargers,SoFi Stadium,California,70240
Los Angeles Rams,SoFi Stadium,California,70240
Miami Dolphins,Hard Rock Stadium,Florida,65326
Minnesota Vikings,U.S. Bank Stadium,Minnesota,66655
New England Patriots,Gillette Stadium,Massachusetts,64628
New Orleans Saints,Caesars Superdome,Louisiana,73208
New York Giants,MetLife Stadium,New Jersey,82500
New York Jets,MetLife Stadium,New Jersey,82500
Philadelphia Eagles,Lincoln Financial Field,Pennsylvania,69596
Pittsburgh Steelers,Acrisure Stadium,Pennsylvania,68400
San Francisco 49ers,Levi's Stadium,California,68500
Seattle Seahawks,Lumen Field,Washington,69000
Tampa Bay Buccaneers,Raymond James Stadium,Florida,69218
Tennessee Titans,Nissan Stadium,Tennessee,69143
Washington Commanders,Commanders Field,Maryland,64000
