indicator_id,category
barrels,能源消费类
barrels-per-capita,能源消费类
biodiesel,能源消费类
biomass,能源消费类
btu,能源消费类
btu-biofuels,能源消费类
btu-coal,能源消费类
btu-crude-oil,能源消费类
btu-natural-gas,能源消费类
btu-nuclear-electric-power,能源消费类
btu-other-renewables,能源消费类
btu-per-capita,能源消费类
btu-total-primary-energy,能源消费类
btu-total-renewables,能源消费类
btu-wood-and-waste,能源消费类
cdd,气候环境类
co2-co2-co2-per-billion-btu,碳排放类
co2-co2-co2-per-million-dollars,碳排放类
co2-co2-per-capita,碳排放类
co2-co2-total-co2,碳排放类
coal,能源消费类
coal-expenditures,能源价格类
coal-prices,能源价格类
commercial,碳排放类
commercial-sector,能源价格类
crude-oil,能源消费类
cubic-feet,能源消费类
cubic-feet-per-capita,能源消费类
current-dollar-gdp,经济人口类
electric-power,碳排放类
electricity-expenditures,能源价格类
electricity-prices,能源价格类
expenditures,能源价格类
expenditures-per-capita,能源价格类
fuel-ethanol,能源消费类
gdp-energy-consumption-per-real-gdp,能源消费类
gdp-expenditures,能源价格类
gdp-expenditures-per-capita,能源价格类
gdp-expenditures-per-gdp,能源价格类
gdp-prices,能源价格类
gdp-real-gdp,经济人口类
gdp-total-consumption,能源消费类
geothermal,能源消费类
hdd,气候环境类
hydropower,能源消费类
industrial,碳排放类
industrial-sector,能源消费类
natural-gas,能源消费类
natural-gas-expenditures,能源价格类
natural-gas-prices,能源价格类
nuclear,能源消费类
nuclear-electric-power,能源消费类
other-biofuels,能源消费类
petroleum,碳排放类
petroleum-expenditures,能源价格类
petroleum-prices,能源价格类
prices,能源价格类
real-gdp,经济人口类
renewable-diesel,能源消费类
residential,气候环境类
residential-per-capita,气候环境类
residential-sector,能源价格类
solar-energy,能源消费类
total,能源价格类
total-consumption,能源消费类
total-per-capita,能源消费类
total-population,经济人口类
total-renewable-energy,能源消费类
transportation,碳排放类
transportation-sector,能源消费类
wind-energy,能源消费类
